no,성별,맛_오사츠,맛_칸쵸,맛_오감자,맛_포카칩,식감_오사츠,식감_칸쵸,식감_오감자,식감_포카칩,선호도_오사츠,선호도_칸쵸,선호도_오감자,선호도_포카칩,가성비_오사츠,가성비_칸쵸,가성비_오감자,가성비_포카칩,가심비_오사츠,가심비_칸쵸,가심비_오감자,가심비_포카칩,풍미,바삭바삭,달콤함,담백함,기름기_적음,향,쫀득,비주얼,식감_독특함
1,남,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,오사쯔,칸쵸,오감자 버터갈릭,칸쵸,오감자 버터갈릭,칸쵸,오사쯔,포카칩,칸쵸
2,남,5,6,7,7,6,6,6,6,4,4,7,7,5,5,5,5,5,6,7,7,오감자 버터갈릭,포카칩,칸쵸,오사쯔,칸쵸,오감자 버터갈릭,칸쵸,오감자 버터갈릭,오감자 버터갈릭
3,남,3,3,4,2,4,3,2,2,3,4,4,2,2,4,4,2,3,4,4,1,오사쯔,포카칩,오감자 버터갈릭,오사쯔,칸쵸,오감자 버터갈릭,칸쵸,오감자 버터갈릭,오감자 버터갈릭
4,남,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,오사쯔,포카칩,칸쵸,오감자 버터갈릭,칸쵸,포카칩,칸쵸,오감자 버터갈릭,오사쯔
5,남,4,5,5,3,3,4,7,7,2,5,4,2,2,4,4,3,5,4,2,4,오감자 버터갈릭,포카칩,칸쵸,오사쯔,칸쵸,오사쯔,칸쵸,칸쵸,오사쯔
6,여,4,5,7,6,5,4,7,7,6,6,7,7,5,7,5,6,7,6,2,5,오감자 버터갈릭,포카칩,칸쵸,오사쯔,칸쵸,오감자 버터갈릭,칸쵸,오감자 버터갈릭,오사쯔
7,여,5,4,3,6,6,2,6,6,6,2,2,6,5,4,2,2,4,4,3,4,오사쯔,포카칩,오사쯔,칸쵸,오사쯔,오감자 버터갈릭,칸쵸,칸쵸,오감자 버터갈릭
8,여,2,4,1,3,3,4,2,4,2,4,1,4,3,4,4,4,3,4,1,3,오감자 버터갈릭,포카칩,칸쵸,오사쯔,칸쵸,오감자 버터갈릭,칸쵸,오감자 버터갈릭,오감자 버터갈릭
9,여,5,2,7,5,3,4,7,6,5,2,7,5,7,5,2,1,5,5,4,4,오감자 버터갈릭,오감자 버터갈릭,오감자 버터갈릭,오사쯔,오사쯔,오감자 버터갈릭,칸쵸,오감자 버터갈릭,칸쵸
10,여,7,7,6,4,7,7,6,4,7,7,5,4,6,5,6,6,6,6,6,6,오사쯔,오감자 버터갈릭,칸쵸,포카칩,포카칩,오사쯔,칸쵸,칸쵸,오사쯔
11,남,5,7,4,6,6,4,7,5,5,6,3,7,5,4,4,6,3,4,5,5,포카칩,오감자 버터갈릭,칸쵸,포카칩,오사쯔,오감자 버터갈릭,칸쵸,칸쵸,오감자 버터갈릭
12,남,3,3,3,3,3,3,3,3,4,4,4,4,7,7,7,7,7,7,7,7,오감자 버터갈릭,칸쵸,칸쵸,칸쵸,칸쵸,칸쵸,칸쵸,칸쵸,칸쵸
13,여,6,5,3,4,6,6,4,4,7,7,3,3,7,6,2,4,6,3,4,5,오사쯔,포카칩,오사쯔,포카칩,오사쯔,오사쯔,칸쵸,칸쵸,오감자 버터갈릭
14,남,6,6,5,4,6,5,4,4,7,4,5,4,6,5,5,5,6,4,5,4,오감자 버터갈릭,오사쯔,오사쯔,포카칩,칸쵸,오사쯔,오감자 버터갈릭,오감자 버터갈릭,칸쵸
15,남,6,4,3,3,5,3,4,5,5,5,4,3,4,3,3,4,5,4,4,4,오사쯔,포카칩,칸쵸,포카칩,칸쵸,오사쯔,칸쵸,오사쯔,오감자 버터갈릭
